id	hash	time	median_time	size	stripped_size	weight	version	version_hex	version_bits	merkle_root	nonce	bits	difficulty	chainwork	coinbase_data_hex	transaction_count	witness_count	input_count	output_count	input_total	input_total_usd	output_total	output_total_usd	fee_total	fee_total_usd	fee_per_kb	fee_per_kb_usd	fee_per_kwu	fee_per_kwu_usd	cdd_total	generation	generation_usd	reward	reward_usd	guessed_miner
854102	000000000000000000015993cf7ddebcae5e06de4970469020771c3fe29b79d3	2024-07-27 00:05:14	2024-07-26 22:07:31	1396236	865771	3993549	536920064	2000c000	100000000000001100000000000000	262d0a6346866287e96242ca7eb19c598dd698c72651443c3a2051479b9a378a	2091392662	386100794	82047728459933	0000000000000000000000000000000000000000859e31138f31d53c54696640	0356080d1b4d696e656420627920416e74506f6f6c3936358c0001045696e890fabe6d6dc6750a1d3d12266b2cf46a9cd47a12aabdac2fa5c2d533ce6269269e38acdc8c100000000000000000008545b771040000000000	2769	2456	5584	14656	839421984091	569849984	839734484091	570062144	13266552	9006.1318	9504.901	6.4526	3323.4937	2.2559	7936.2915696727	312500000	212143.75	325766552	221149.875	AntPool
854103	0000000000000000000082e159f05bc019806b03f5c5d0d9a936be02abe6cbab	2024-07-27 00:16:50	2024-07-26 22:23:17	1644068	782954	3992930	537444352	2008c000	100000000010001100000000000000	6b9f1344f6d585a0ab93a6c9e95cfb5322dcaf5d5151976d22cd4de3c7bc08c0	3154556966	386100794	82047728459933	0000000000000000000000000000000000000000859e7bb31386fa2e39ef85a0	0357080d04793ca4662f466f756e6472792055534120506f6f6c202364726f70676f6c642f55f97984e623010000000000	3581	3401	7344	10498	2343188251093	1590696832	2343500751093	1590908928	8431059	5723.5088	5129.23	3.4819	2112.1592	1.4338	57606.972822045	312500000	212143.75	320931059	217867.2656	Foundry USA Pool
854104	00000000000000000000824bfc185120cdcfc32016bda96f4b5292b7ce39108f	2024-07-27 00:29:37	2024-07-26 22:23:32	1599190	797988	3993154	671088640	28000000	101000000000000000000000000000	ea3f65a31497ae7a3becec5b888c7a2b055cc2aed383fb5a08c3b96d30ff2260	210096445	386100794	82047728459933	0000000000000000000000000000000000000000859ec65297dc1f201f75a500	0358080d04853fa466537069646572506f6f6c2f3131312f0bbc9d37a01301b1d8732d0000000000	3334	3162	7444	11292	292103934450	198297680	292416434450	198509824	7376917	5007.894	4613.9097	3.1323	1847.9834	1.2545	15201.477316771	312500000	212143.75	319876917	217151.6406	SpiderPool
854105	0000000000000000000160198735a9c3bc1c900d91dcd9745322b93bdd0fb276	2024-07-27 00:32:47	2024-07-26 22:46:55	1729373	754569	3993080	536879104	20002000	100000000000000010000000000000	1ef51320e27bc87959d5aec0460c7e3fea51adff1f529eb699662a68f19530cd	2955739744	386100794	82047728459933	0000000000000000000000000000000000000000859f10f21c31441204fbc460	0359080d082f5669614254432f2cfabe6d6d7e6c32a61aee5f3f6049122ca701022d55a3e802fd257cd1e3403aacd1b5ccb410000000000000001026846a00d764c6e8c44533567257080000000000	2299	2230	11075	6634	584209056029	396596160	584521556029	396808288	5975143	4056.2856	3455.8555	2.3461	1496.9069	1.0163	9650.8405438566	312500000	212143.75	318475143	216200.0312	ViaBTC
854106	0000000000000000000318962abd785addeda00b486878f8a5b8ef0e456ba524	2024-07-27 00:42:56	2024-07-26 23:07:25	1562884	810092	3993160	1073733632	3fffe000	111111111111111110000000000000	dc9b148524248466d2ccda9160f1ae76e37bdad175ee9339940c0d27b1e919bf	693116981	386100794	82047728459933	0000000000000000000000000000000000000000859f5b91a0866903ea81e3c0	035a080d048442a4662f466f756e6472792055534120506f6f6c202364726f70676f6c642f193098cf97c0010000000000	2897	2703	7432	8552	369402223848	250772400	369714723848	250984544	6546150	4443.9194	4189.418	2.8437	1639.855	1.1133	18444.699722128	312500000	212143.75	319046150	216587.6719	Foundry USA Pool
854107	00000000000000000001cb86ae6b0073019fcb8996bfc0d0931829c1b9fa897b	2024-07-27 00:43:17	2024-07-27 00:05:14	2098978	631347	3993019	626491392	25578000	100101010101111000000000000000	4c3fc19f9e8af9a8e5567fd3af980eac689090bd2839c1d31d087611af5ddf88	1586803371	386100794	82047728459933	0000000000000000000000000000000000000000859fa63124db8df5d0080320	035b080d04a542a466537069646572506f6f6c2f3131312fd7c10b8c7a010c322804000000000000	480	471	13699	1472	20613884555	13993942	20926384555	14206085	4104649	2786.4819	1955.8698	1.3279	1028.2859	0.6979	6731.3151245864	312500000	212143.75	316604649	214930.2344	SpiderPool
854108	00000000000000000002b6c44c521612555229c2ff515edb18dfface2cd1002a	2024-07-27 00:54:42	2024-07-27 00:16:50	1786460	735725	3993635	536952832	20014000	100000000000010100000000000000	f912b1d0966ec5aa027e430cd7b642240d55d4399d8558becf52b8d6203e4b15	101261181	386100794	82047728459933	0000000000000000000000000000000000000000859ff0d0a930b2e7b58e2280	035c080d1b4d696e656420627920416e74506f6f6c39303116003a006846fc33fabe6d6dac4542573c0eea1926c582a580ba4d9ee353ee7ac057a6580916e7229d9d1f8b100000000000000020070100a061020000000000	2558	2463	9959	7309	294650891391	200026704	294963391391	200238848	6390817	4338.4702	3578.319	2.429	1600.9723	1.0869	6940.4945837827	312500000	212143.75	318890817	216482.2188	AntPool
854109	000000000000000000032304183620018cea43493af4f343595c89eb9dbaed7d	2024-07-27 00:59:56	2024-07-27 00:29:37	2020775	657652	3993731	757481472	2d264000	101101001001100100000000000000	a4f0836a7cabc1c95d0dcef41be868351bcc1a21d0d063e6957fd9c1763ecc07	1321433247	386100794	82047728459933	000000000000000000000000000000000000000085a03b702d85d7d99b1441e0	035d080d194d696e656420627920416e74506f6f6c2048001d076a26c7bdfabe6d6d598f7958e4468883669214d5da55f2c028aea64fd5b9fba23894910fe0740ddb10000000000000000000bcab416e000000000000	1273	1224	12684	3445	77116930409	52351600	77429430409	52563744	4977450	3378.9917	2463.7183	1.6727	1246.8752	0.8465	1280.6424291539	312500000	212143.75	317477450	215522.7344	AntPool
854110	00000000000000000000c51051873ed4e3f597e8d78c7355b7ac10fc3b71f770	2024-07-27 01:02:17	2024-07-27 00:32:47	2021852	657147	3993293	536977408	2001a000	100000000000011010000000000000	f43ff84d21a2e24cad31527b3f4be0a461bc3e98cfe6bbe1b3cb9f4b9b6aa0e7	2866474170	386100794	82047728459933	000000000000000000000000000000000000000085a0860fb1dafccb809a6140	035e080d1b2f5669614254432f4d696e656420627920616e647265796e33332f2cfabe6d6db95d1afa82b9400f92f1967e46a68559424dd92794c7913d63973e6a17e1839a100000000000000010818415052038fcffe1612253d5bb070000000000	816	790	12910	1998	259145718741	175923664	259458218741	176135808	4569865	3102.2986	2260.6855	1.5349	1144.814	0.7773	47803.854585052	312500000	212143.75	317069865	215246.0469	ViaBTC
854111	00000000000000000000efac316bbf11d516c1e3bfacac25daf25a85a72d94ec	2024-07-27 01:03:10	2024-07-27 00:42:56	2148962	614864	3993554	537911296	200fe000	100000000011111110000000000000	037e36a59422b38a70feaafbc822ec7ea93cb1d18d006d4cdc65b1f762ddb614	1931822041	386100794	82047728459933	000000000000000000000000000000000000000085a0d0af363021bd662080a0	035f080d194d696e656420627920416e74506f6f6c208c000d046b4ec0eafabe6d6d928a80ffe3b1b9ebad8cd7ad2d5976e71e2a4b7abb500e3d4fc75ea5ae07238e100000000000000000006ac4f02b000000000000	436	428	13852	1151	26482025514	17977588	26794525514	18189732	4129952	2803.6592	1922.2606	1.3048	1034.6188	0.7026	361.96118157123	312500000	212143.75	316629952	214947.4062	AntPool
854112	000000000000000000012ea59bc3279d3e025bb04c00c58f2aa0c5c717c7a74d	2024-07-27 01:49:47	2024-07-27 00:43:17	1470231	840874	3992853	847683584	3286a000	110010100001101010000000000000	d72c211a036141c0073d368d25ac2e5430d3f50596efecb6839a720b77b51191	438408814	386100794	82047728459933	000000000000000000000000000000000000000085a11b4eba8546af4ba6a000	0360080d043c52a4662f466f756e6472792055534120506f6f6c202364726f70676f6c642f2fe0d9c25987040000000000	2929	2676	6522	12773	614431239217	417112800	614743739217	417324928	11166515	7580.5005	7596.832	5.1573	2797.5027	1.8995	24441.920876843	312500000	212143.75	323666515	219724.25	Foundry USA Pool
854113	00000000000000000001990b5bea92d50913faaad60a51efdc9f3f711fb602be	2024-07-27 01:58:42	2024-07-27 00:54:42	1586128	803962	3998014	536870912	20000000	100000000000000000000000000000	dab040b5cdc9bf920c8df583e91224a766fde285e962977631fc075eef5c80db	1059435103	386100794	82047728459933	000000000000000000000000000000000000000085a165ee3eda6ba1312cbf60	0361080d2cfabe6d6df88a22b5bb8cdfc0d880c64fe959596e997facfb7e802697bb640b803bc4164110000000f09f909f092f4632506f6f6c2f6200000000000000000000000000000000000000000000000000000000000000000000000500eb3e0100	3268	3134	7332	10273	398318457346	270402464	398630957346	270614624	6887297	4675.5103	4343.689	2.949	1723.5659	1.1704	23691.285996975	312500000	212143.75	319387297	216819.2656	F2Pool
854114	000000000000000000021d0549a314959508147167304c029b56bb99a5f2bb55	2024-07-27 01:59:38	2024-07-27 00:59:56	2002316	663535	3992921	615645184	24b20000	100100101100100000000000000000	d795d1de2177dbfab8e7ae12eb89b06d76c7a16703358c49b02931899985df71	2771174461	386100794	82047728459933	000000000000000000000000000000000000000085a1b08dc32f909316b2dec0	0362080d048a54a4662f466f756e6472792055534120506f6f6c202364726f70676f6c642f0d60f5d30000065031000000	1206	1171	12541	2690	42377904921	28768664	42690404921	28980808	4290887	2912.9116	2143.326	1.4548	1074.9606	0.7298	8067.9914513076	312500000	212143.75	316790887	215056.6562	Foundry USA Pool
854115	00000000000000000000a8a9e7b76b081e061fddc7f65728fee5173a6c9fef26	2024-07-27 02:02:47	2024-07-27 01:02:17	2027873	655153	3993332	536879104	20002000	100000000000000010000000000000	e11ad2038f62a4a0dcae52cd093dc035a0c9c80534a292992833dc34b8f1f64a	2289736434	386100794	82047728459933	000000000000000000000000000000000000000085a1fb2d4784b584fc38fe20	0363080d082f5669614254432f2cfabe6d6dabd5635665c1b4cb264a737b926cd3272a2fbed6f8c65b75c539ae299e29fc7b1000000000000000102f85420641b856d82bcc9d90db45240000000000	1282	1234	12353	2976	74835286287	50802684	75147786287	51014828	4744211	3220.655	2339.942	1.5885	1188.4558	0.8065	2972.4778422619	312500000	212143.75	317244211	215364.4062	ViaBTC
854116	000000000000000000008ffde1950ee78e8040ea597e6ee035e9c5cefe6a39cb	2024-07-27 02:09:18	2024-07-27 01:03:10	1959908	677723	3993077	738197504	2c000000	101100000000000000000000000000	9795dda472497d5bf3b1e2763e107c67d17bc5a9f9a4ac779a93c73481a38f9f	82245990	386100794	82047728459933	000000000000000000000000000000000000000085a245cccbd9da76e1bf1d80	0364080d04d456a4662f466f756e6472792055534120506f6f6c202364726f70676f6c642f2ac1ab8a00000b5792640b00	1587	1526	11716	4220	220971476007	150008704	221283976007	150220832	5714825	3879.5662	2916.3699	1.9796	1431.6322	0.9721	22731.278129532	312500000	212143.75	318214825	216023.3125	Foundry USA Pool
854117	000000000000000000004d7c5dd13a600409c8d65fccd31745ad1b5dd2526979	2024-07-27 02:24:03	2024-07-27 01:49:47	1596888	798961	3993771	905969664	36000000	110110000000000000000000000000	d38e90bb6d1ce0a90d48fea7d8ffef483747d6cd83959497a8d5c85b3ce86d88	83962838	386100794	82047728459933	000000000000000000000000000000000000000085a2906c502eff68c7453ce0	0365080d1b4d696e656420627920416e74506f6f6c39363116004303883acc3afabe6d6d825e4a52d9e3b25b85f2d5b7b24aba923a074da7f348eddae3855063e6371ed610000000000000000000db16c5e3290000000000	3404	3171	7184	9698	243574576861	165353040	243887076861	165565184	7250237	4921.896	4541.5854	3.0834	1816.2048	1.2328	25846.777154736	312500000	212143.75	319750237	217065.6406	AntPool
854118	000000000000000000022508ed1942f53ff70ca091419a9b1d0136095a7f176d	2024-07-27 02:26:41	2024-07-27 01:58:42	2069874	641152	3993330	1073676288	3fff0000	111111111111110000000000000000	35fa766325b9498b55c6176447b511b43e7cd4ed843eb5ba174580e74f7fcd9f	989175866	386100794	82047728459933	000000000000000000000000000000000000000085a2db0bd484245aaccb5c40	0366080d192f5669614254432f4d696e6564206279207869616e6736382f2cfabe6d6daa1f03829413077a38ae9afb81c042e56cfc397a48533574d5d8b734f0f425ae10000000000000001059adc6095f1171eb93798dd343560000	1315	1289	12711	2925	15184210283	10307953	15496710283	10520097	4594785	3119.2158	2220.2617	1.5071	1151.0392	0.7814	258.41114492492	312500000	212143.75	317094785	215262.9688	ViaBTC
854119	000000000000000000020c3e1cfd97c729c675cd8c937ce3cfb033a7cf42276d	2024-07-27 02:32:58	2024-07-27 01:59:38	1829923	721235	3993628	732971008	2bb04000	101011101100000100000000000000	8930ac84ca13121554605fef3165d21e4162a2bcb14a3e88049fc66c808bd3af	2846802279	386100794	82047728459933	000000000000000000000000000000000000000085a325ab58d9494c92517ba0	0367080d1362696e616e63652f383232040131028b6b71fafabe6d6d7c47884b079b42fba7a4eff09ff5cb3ae81ecd95ec59845f1ae9f5ba00b69412100000000000000000009829f400000000000000	2317	2258	10299	6276	70845747160	48094344	71158247160	48306488	5169971	3509.6865	2825.9639	1.9185	1295.1283	0.8791	7097.5833882445	312500000	212143.75	317669971	215653.4375	Binance
